from,to
TPM4,CTSS
SOD1,FABP3
ALDH2,FH
GRSF1,HADHA
MDH1,ARHGDIA
MDH2,GRSF1
PGK1,ENO3
MDH2,PPP1CA
NPM1,YWHAE
C4B,PITX3
ENO1,TUBA4A
ATP5PO,APOE
LRCH3,SNTB2
PPP1CA,FABP3
RC3H2,GRSF1
S100A9,TUBB
TUBB,HSPA2
PRDX2,KCTD5
FBN1,FBLN2
AHSG,PITX3
MDH2,FH
COX4I1,UQCRC1
C5AR2,TTK
U2SURP,HADHA
KNG1,CTSS
SOD1,FABP5
SGTB,C1QA
SERPINA1,FN1
PPP1CA,SCPEP1
FLNC,UQCRC1
RIPK3,HADHA
CALD1,PPP1CA
PRDX1,MARCKS
FN1,YWHAE
HSPG2,FBLN2
C3,GOT1
FH,CCNDBP1
TINF2,BIN2
ENO1,PLG
PGK1,STAT3
ALDH2,FGG
MDH1,LMNA
SGTB,FBN1
FN1,FBLN2
MDH1,PPP1CA
PPP1CA,PDLIM5
FN1,TEAD4
FN1,PLG
MARCKS,TPM3
C4A,GOT1
COL1A1,TGFBI
PRDX1,PPP1CA
CKB,YWHAE
C3,PITX3
PITX3,C1QA
RIPK3,MYL6
RC3H2,TUBA1C
GRSF1,COL15A1
SERPINC1,PLG
PRDX1,MDH2
APOE,APOA2
FN1,MATN2
APOA1,GPLD1
COL1A1,HTRA1
COX4I1,HADHA
KNG1,PLG
TUBB,RIPK3
HP,PITX3
MDH2,COX4I1
SERPINH1,CTSB
TEAD4,MYH7
LMNA,TEAD4
C3,C5AR2
FN1,GSN
TUBB,HADHA
PGK1,TUBA4A
SOD1,MARCKS
COX4I1,TPM3
BTBD1,LGALS13
C3,FH
S100A9,STAT3
CDK5RAP1,FMOD
CSRP1,B3GNT2
YWHAE,DENND2B
FN1,C1QA
PGK1,ACAA2
SOD1,YWHAE
LMNA,ARHGDIA
TUBA4A,B3GNT2
APOA1,ALDH2
FN1,TGFBI
RC3H2,TUBA4A
PPIA,ACAA2
PGAM1,PGAM2
FN1,FGG
GOT1,GDA
C1QA,NRP2
PGAM1,FABP5
ENO1,LMNA
SERPINA1,ALDH2
SOD1,MDH2
LMNA,NASP
