from,to
ACTB,CCN2
RPL12,RPL13
ANXA2,PCBP2
PDHB,PHB1
EEF1A1,RPSA
ACTB,RPL7A
DBN1,PHB1
RPL4,RPL13
HSPB1,HEL-S-66p
RPL18,EEF1D
PHB1,MAP1B
ANXA1,HMGA1
MAP1B,TCP1
ANXA2,CTSD
ACTB,DBN1
HSPB1,EEF1D
TPM1,RPS3
RPL18,RPL7A
RPS8,RPL13
RPSA,RPS5
LIMA1,PDLIM1
NPM1,HP1BP3
RPL14,RPS5
GAPDH,ANXA7
NPM1,RPS8
RPL4,RPS3
NPM1,LMNA
RPS5,RPL24
RPS8,HMGB1
HEL-S-66p,NPC2
RPL18,PHB1
ATP5F1A,RPS3
PKM,NPM1
HSPB1,SQSTM1
RPL4,RPL9
RPL24,PHB1
PKM,CYP1A1
RPL7A,RPL27
ANXA7,RPL13
NPM1,PHB1
EEF1A1,RPS8
LMNA,MAP1B
NPM1,TCP1
HSPB1,HNRNPD
LMNA,DUSP13B
EEF1A1,ANXA7
GAPDH,ACTB
PYGB,GBE1
EEF1A1,PKM
ACTR1A,AHNAK2
HP1BP3,RPL5
RPS5,RPL5
RPL14,RPL18
RPS9,RPL13
RPL5,LMNA
RPL14,RPL24
NPM1,ACTB
RPSA,PHB1
RPS9,NPM1
RPS9,RPS8
PHB1,RPL13
RPS9,HMGB1
RPL27,PHB1
SQSTM1,ACTR1A
GAPDH,RPS3
RPL12,RPL34
RPL5,RPL34
DBN1,PPP1R12A
ACTB,MAP1B
RPSA,RPL14
ATP5F1A,RPL18
GAPDH,LMNA
RPSA,RPL24
MMP2,COL5A1
PHB1,HNRNPA3
HSPB1,CRYAB
RPL4,HP1BP3
TCP1,HNRNPA3
HMGB1,RPS3
ATP5F1A,HSPB1
RPL12,RPS3
ANXA2,DBN1
MYL12A,PRKAR2A
TPM1,HMGB1
HNRNPD,HNRNPA3
RPL12,RPL9
HNRNPD,PCBP2
ACTB,VCL
RPS5,RPL13
CRIP1,CAPG
HMGB1,LMNA
LMNA,FBN1
CAPNS2,FTH1
HMGA1,H2BC5
NPM1,RPS5
RPL18,MAP1B
RPSA,RPL5
PHB1,MYL12A
NPM1,COL8A1
HP1BP3,PHB1
MAP1B,CRYAB
PHB1,LMNA
ACTB,SQSTM1
PDHB,RPSA
ATP5F1A,TFAP2A
CRYAB,FGF2
ATP5F1A,EEF1A1
RPS8,RPL24
RPL4,RPL5
GAPDH,HSPB1
RPS8,FTH1
NPM1,ANXA2
AK2,PPM2C
RPL24,RPL13
RPL4,RPL18
NPM1,RPL18
RPS9,RPSA
RPL18,HMGB1
MMAB,RP9
RPS8,RPL7A
NPM1,RPL24
RPSA,COL1A1
RPL18,RPL12
GAPDH,NPM1
HMGB1,RPL24
ATP5F1A,PCBP2
RPS8,RPL18
RPS8,RPL5
RPSA,LIMA1
ACTB,PHB1
IGFBP7,FBN1
HSPB1,NPM1
HSPB1,ANXA1
EEF1A1,RPL18
ACTB,ACTR1A
PHB1,RPS3
PDHB,MYL12A
RPS9,RPL24
EEF1A1,RPL24
RPSA,RPL13
GAPDH,MAP1B
LGALS3,PCBP2
